"TIME","GEO","UNIT","SEX","AGE","ICD10","Value","Flag and Footnotes"
"2001","European Union - 27 countries (from 2020)","Number","Total","Total","All causes of death (A00-Y89) excluding S00-T98","4 243 226","e"
"2001","European Union - 27 countries (from 2020)","Number","Males","Total","All causes of death (A00-Y89) excluding S00-T98","2 137 836","e"
"2001","European Union - 27 countries (from 2020)","Number","Females","Total","All causes of death (A00-Y89) excluding S00-T98","2 105 390","e"
"2001","European Union - 28 countries (2013-2020)","Number","Total","Total","All causes of death (A00-Y89) excluding S00-T98","4 847 619","e"
"2001","European Union - 28 countries (2013-2020)","Number","Males","Total","All causes of death (A00-Y89) excluding S00-T98","2 425 775","e"
"2001","European Union - 28 countries (2013-2020)","Number","Females","Total","All causes of death (A00-Y89) excluding S00-T98","2 421 844","e"
"2001","Belgium","Number","Total","Total","All causes of death (A00-Y89) excluding S00-T98",":",""
"2001","Belgium","Number","Males","Total","All causes of death (A00-Y89) excluding S00-T98",":",""
"2001","Belgium","Number","Females","Total","All causes of death (A00-Y89) excluding S00-T98",":",""
"2001","Bulgaria","Number","Total","Total","All causes of death (A00-Y89) excluding S00-T98","112 368",""
"2001","Bulgaria","Number","Males","Total","All causes of death (A00-Y89) excluding S00-T98","60 145",""
"2001","Bulgaria","Number","Females","Total","All causes of death (A00-Y89) excluding S00-T98","52 223",""
"2001","Czechia","Number","Total","Total","All causes of death (A00-Y89) excluding S00-T98","107 755",""
"2001","Czechia","Number","Males","Total","All causes of death (A00-Y89) excluding S00-T98","53 772",""
"2001","Czechia","Number","Females","Total","All causes of death (A00-Y89) excluding S00-T98","53 983",""
"2001","Denmark","Number","Total","Total","All causes of death (A00-Y89) excluding S00-T98","57 632",""
"2001","Denmark","Number","Males","Total","All causes of death (A00-Y89) excluding S00-T98","27 877",""
"2001","Denmark","Number","Females","Total","All causes of death (A00-Y89) excluding S00-T98","29 755",""
"2001","Germany (until 1990 former territory of the FRG)","Number","Total","Total","All causes of death (A00-Y89) excluding S00-T98","828 541",""
"2001","Germany (until 1990 former territory of the FRG)","Number","Males","Total","All causes of death (A00-Y89) excluding S00-T98","383 887",""
"2001","Germany (until 1990 former territory of the FRG)","Number","Females","Total","All causes of death (A00-Y89) excluding S00-T98","444 654",""
"2001","Estonia","Number","Total","Total","All causes of death (A00-Y89) excluding S00-T98","18 516",""
"2001","Estonia","Number","Males","Total","All causes of death (A00-Y89) excluding S00-T98","9 527",""
"2001","Estonia","Number","Females","Total","All causes of death (A00-Y89) excluding S00-T98","8 989",""
"2001","Ireland","Number","Total","Total","All causes of death (A00-Y89) excluding S00-T98","30 212",""
"2001","Ireland","Number","Males","Total","All causes of death (A00-Y89) excluding S00-T98","15 691",""
"2001","Ireland","Number","Females","Total","All causes of death (A00-Y89) excluding S00-T98","14 521",""
"2001","Greece","Number","Total","Total","All causes of death (A00-Y89) excluding S00-T98","102 559",""
"2001","Greece","Number","Males","Total","All causes of death (A00-Y89) excluding S00-T98","53 853",""
"2001","Greece","Number","Females","Total","All causes of death (A00-Y89) excluding S00-T98","48 706",""
"2001","Spain","Number","Total","Total","All causes of death (A00-Y89) excluding S00-T98","360 131",""
"2001","Spain","Number","Males","Total","All causes of death (A00-Y89) excluding S00-T98","189 714",""
"2001","Spain","Number","Females","Total","All causes of death (A00-Y89) excluding S00-T98","170 417",""
"2001","France","Number","Total","Total","All causes of death (A00-Y89) excluding S00-T98","541 183",""
"2001","France","Number","Males","Total","All causes of death (A00-Y89) excluding S00-T98","277 858",""
"2001","France","Number","Females","Total","All causes of death (A00-Y89) excluding S00-T98","263 325",""
"2001","France (metropolitan)","Number","Total","Total","All causes of death (A00-Y89) excluding S00-T98","531 072",""
